Name,Email Address,Mobile / WhatsApp,Role,City,Language,Region,Country,Facilitator(s),Group Name,Registered Through,WhatsApp Group Status,Initiation Status,Culmination Status,Notes,Registered By
Ramesh Kulkarni,ramesh.kulkarni131@rediffmail.com,9735104392,Facliators,Faridabad,Tamil,India,India,Lakshmi Krishnan,Hyderabad Group,Twitter,Pending,No,Yes,,RasPay
Darshan Pillai,darshan.pillai139@rediffmail.com,8758291647,Facliators,Delhi,Odia,India,India,Anand Rao,Singapore Group,YouTube,Pending,No,No,,Admin1
Irfan Agarwal,irfan.agarwal496@gmail.com,8851282492,Sadhak,Dhanbad,Marathi,India,India,Karthik Menon,Kolkata Group,Email,Yes,Pending,Pending,,Self
Usha Pandey,usha.pandey918@outlook.com,7901325000,Facliators,London,Gujarati,Non India,New Zealand,Ravi Kumar,Kolkata Group,Word of Mouth,Yes,Yes,Yes,Interested,Self
Ganesh Rao,ganesh.rao637@gmail.com,6102128477,Facliators,Chicago,Hindi,Non India,Qatar,Ravi Kumar,London Group,Email,Pending,No,No,Awaiting response,Admin2
Geeta Chakraborty,geeta.chakraborty788@outlook.com,6380154609,Facliators,Jaipur,Kannada,India,India,Ravi Kumar,Mysore Group,Word of Mouth,Yes,Yes,No,,System
Leela Oberoi,leela.oberoi613@rediffmail.com,8661711253,Sadhak,Ahmedabad,Kannada,India,India,Deepa Nair,Mysore Group,Website,Yes,Yes,Yes,Inactive,Facilitator
Girish Patel,girish.patel376@rediffmail.com,6396008243,Facliators,Houston,Tamil,Non India,Bahrain,Rajesh Kumar,Toronto Group,Facebook,Yes,Pending,No,Follow up,System
Shiva Pandey,shiva.pandey736@gmail.com,9212606127,Sadhak,Colombo,Tamil,Non India,Germany,Arjun Singh,Mysore Group,Email,Pending,No,Yes,,Facilitator
Faisal Rajan,faisal.rajan485@hotmail.com,7121775217,Sadhak,Ludhiana,Kannada,India,India,Deepa Nair,Chennai Group,YouTube,No,Yes,No,Awaiting response,RasPay
Nandita Banerjee,nandita.banerjee873@rediffmail.com,7022913985,Facliators,Houston,English,Non India,Nepal,Suresh Pillai,Sydney Group,Instagram,Pending,Pending,Pending,Inactive,Admin1
Akash Mehta,akash.mehta140@yahoo.com,6726103607,Sadhak,Houston,Telugu,Non India,Germany,Mohan Gupta,Coimbatore Group,YouTube,No,Yes,Yes,Interested,Admin2
Vidya Gowda,vidya.gowda205@yahoo.com,7176316244,Facliators,Singapore,Gujarati,Non India,Nepal,Sunita Patel,London Group,WhatsApp,No,Pending,No,Follow up,Coordinator
Naresh Shetty,naresh.shetty866@hotmail.com,7300848594,Sadhak,Patna,Tamil,India,India,Deepa Nair,Chennai Group,Website,Pending,Yes,Yes,,Admin1
Kavya Kulkarni,kavya.kulkarni128@gmail.com,8969789071,Facliators,Auckland,Tamil,Non India,UK,Pooja Mehta,Dubai Group,WhatsApp,No,No,Pending,New member,RasPay
Uma Rajan,uma.rajan521@outlook.com,6574646040,Sadhak,Singapore,Hindi,Non India,Australia,Sunita Patel,Kolkata Group,Email,No,No,Yes,Interested,Volunteer
Anand Sinha,anand.sinha560@gmail.com,6710080203,Sadhak,Surat,Hindi,India,India,Vijay Reddy,Jaipur Group,WhatsApp,Yes,Yes,Pending,Needs reminder,Admin2
Manish Das,manish.das162@gmail.com,7739020092,Facliators,Colombo,Gujarati,Non India,Germany,Anand Rao,Nagpur Group,WhatsApp,No,Pending,No,Regular attendee,Self
Nikhil Venkatesh,nikhil.venkatesh680@yahoo.com,7177907840,Facliators,Sharjah,Malayalam,Non India,Australia,Anand Rao,Pune Group,Word of Mouth,No,No,No,,RasPay
Zara Venkatesh,zara.venkatesh970@outlook.com,8965902026,Sadhak,Hyderabad,Marathi,India,India,Karthik Menon,Hyderabad Group,Website,Yes,Yes,Pending,Interested,Facilitator
Aryan Tiwari,aryan.tiwari935@rediffmail.com,9660690977,Facliators,Dubai,Hindi,Non India,Kuwait,Naveen Rao,Singapore Group,Instagram,Yes,Pending,Pending,New member,Volunteer
Harish Chakraborty,harish.chakraborty810@hotmail.com,9551325349,Facliators,London,Telugu,Non India,Bahrain,Kavya Iyer,Bangalore Group,Facebook,Yes,Yes,No,,Admin1
Sneha Kamath,sneha.kamath78@outlook.com,7054050689,Sadhak,Kalyan,English,India,India,Rajesh Kumar,Jaipur Group,Telegram,No,Yes,Yes,,System
Dhara Banerjee,dhara.banerjee37@yahoo.com,6739121053,Facliators,Kolkata,Punjabi,India,India,Kavya Iyer,Hyderabad Group,Word of Mouth,Yes,Pending,Pending,,Coordinator
Rajesh Murthy,rajesh.murthy988@hotmail.com,9061015359,Facliators,Pimpri,Assamese,India,India,Anand Rao,Sydney Group,Email,Yes,No,Pending,Regular attendee,Coordinator
Wasim Gupta,wasim.gupta509@yahoo.com,7454689938,Facliators,Sydney,Malayalam,Non India,New Zealand,Rajesh Kumar,Kolkata Group,Twitter,Yes,Pending,No,Active,Admin1
Yogesh Gupta,yogesh.gupta569@outlook.com,6447558219,Facliators,Visakhapatnam,Malayalam,India,India,Ashwin Verma,Chennai Group,Instagram,No,Pending,No,,Volunteer
Savita Desai,savita.desai506@hotmail.com,7408810484,Sadhak,Gwalior,Odia,India,India,Arjun Singh,London Group,Facebook,Pending,No,Pending,,Volunteer
Chitra Rao,chitra.rao247@gmail.com,7609450094,Sadhak,Gwalior,Assamese,India,India,Pooja Mehta,Coimbatore Group,Email,No,Pending,Pending,Regular attendee,Self
Dhara Natarajan,dhara.natarajan318@outlook.com,6813136766,Facliators,Kanpur,Punjabi,India,India,Ashwin Verma,Ahmedabad Group,Telegram,Yes,No,Pending,Active,Coordinator
Pooja Shetty,pooja.shetty59@yahoo.com,6176688306,Sadhak,Amsterdam,English,Non India,New Zealand,Naveen Rao,Singapore Group,Instagram,Pending,Pending,No,,Admin2
Sanjay Roy,sanjay.roy680@rediffmail.com,9908122720,Facliators,Toronto,Gujarati,Non India,Sri Lanka,Lakshmi Krishnan,Dubai Group,Instagram,No,No,No,,Volunteer
Suresh Gowda,suresh.gowda674@rediffmail.com,9072011399,Facliators,Bahrain,Telugu,Non India,Netherlands,Ravi Kumar,Bangalore Group,WhatsApp,No,Pending,Yes,Needs reminder,Admin2
Aryan Venkatesh,aryan.venkatesh367@outlook.com,8440448458,Facliators,Rajkot,Assamese,India,India,Vijay Reddy,London Group,Instagram,No,Yes,Yes,,Volunteer
Leela Pandey,leela.pandey507@gmail.com,9285819484,Facliators,New York,Hindi,Non India,Kuwait,Radha Sharma,Ahmedabad Group,Instagram,Yes,Yes,Yes,Regular attendee,RasPay
Chitra Desai,chitra.desai443@gmail.com,7311683191,Sadhak,Houston,Gujarati,Non India,Germany,Suresh Pillai,Bangalore Group,Word of Mouth,Yes,Pending,Yes,,RasPay
Ritu Iyer,ritu.iyer194@yahoo.com,7005117042,Sadhak,Dhaka,English,Non India,Nepal,Meena Joshi,Mysore Group,WhatsApp,No,Yes,No,,System
Isha Rao,isha.rao432@yahoo.com,8332967480,Facliators,Jodhpur,Kannada,India,India,Kavya Iyer,Kolkata Group,YouTube,No,No,Yes,,System
Suresh Joshi,suresh.joshi373@outlook.com,6445269513,Facliators,Toronto,Gujarati,Non India,Kuwait,Rajesh Kumar,Sydney Group,Word of Mouth,Pending,Yes,No,,RasPay
Suresh Pillai,suresh.pillai741@outlook.com,6802671529,Sadhak,Pune,Bengali,India,India,Priya Sharma,Delhi Group,Facebook,Yes,Pending,Pending,,Admin2
Alka Singh,alka.singh525@hotmail.com,6072729818,Facliators,Dubai,Tamil,Non India,USA,Naveen Rao,USA Group,Email,No,Pending,Yes,,Admin2
Hemant Mishra,hemant.mishra908@yahoo.com,9045550430,Facliators,Paris,Gujarati,Non India,Malaysia,Anand Rao,Mumbai Group,Referral,Pending,No,Pending,,System
Irfan Pillai,irfan.pillai31@yahoo.com,8066635977,Facliators,Singapore,Telugu,Non India,Qatar,Deepa Nair,Coimbatore Group,Facebook,No,No,Yes,New member,Volunteer
Chitra Mukherjee,chitra.mukherjee865@hotmail.com,8963730993,Sadhak,Toronto,English,Non India,Saudi Arabia,Lakshmi Krishnan,Kolkata Group,WhatsApp,No,Pending,No,Confirmed,RasPay
Vikram Yadav,vikram.yadav682@yahoo.com,8924273064,Facliators,Bahrain,English,Non India,Qatar,Priya Sharma,Kolkata Group,Word of Mouth,Pending,No,Pending,,Admin1
Zara Venkatesh,zara.venkatesh334@rediffmail.com,8775405069,Facliators,Faridabad,Kannada,India,India,Priya Sharma,Pune Group,Email,Yes,Yes,Yes,New member,Volunteer
Qasim Patel,qasim.patel956@rediffmail.com,8288476244,Facliators,Chennai,Kannada,India,India,Radha Sharma,Coimbatore Group,Instagram,No,Pending,Pending,,Self
Rahul Kamath,rahul.kamath952@yahoo.com,6794845029,Facliators,Riyadh,Hindi,Non India,UAE,Vijay Reddy,Mumbai Group,Referral,Yes,Yes,Pending,,RasPay
Shiva Nair,shiva.nair454@rediffmail.com,9012198389,Facliators,Vasai,Kannada,India,India,Sunita Patel,London Group,WhatsApp,Pending,Yes,No,,Coordinator
Mohan Pandey,mohan.pandey885@outlook.com,8304396939,Facliators,Houston,Malayalam,Non India,UAE,Suresh Pillai,London Group,Website,Yes,Yes,No,Needs reminder,Self
Sanjay Sen,sanjay.sen490@outlook.com,8279925912,Sadhak,San Jose,Telugu,Non India,Qatar,Meena Joshi,Dubai Group,WhatsApp,Yes,Yes,No,Needs reminder,Self
Irfan Dubey,irfan.dubey174@yahoo.com,9301028902,Facliators,Coimbatore,Malayalam,India,India,Ravi Kumar,Malaysia Group,Word of Mouth,Yes,Yes,Pending,Inactive,Admin1
Deepak Sinha,deepak.sinha600@hotmail.com,9055922815,Facliators,Amsterdam,Malayalam,Non India,Malaysia,Mohan Gupta,Hyderabad Group,Email,Pending,Yes,No,Needs reminder,Facilitator
Hiren Kulkarni,hiren.kulkarni771@yahoo.com,7908372579,Facliators,Melbourne,Telugu,Non India,Nepal,Meena Joshi,Singapore Group,Website,Yes,Yes,Yes,Inactive,RasPay
Faisal Shah,faisal.shah282@yahoo.com,6002026748,Facliators,Houston,Hindi,Non India,Malaysia,Anand Rao,Jaipur Group,Email,Pending,Yes,No,,Coordinator
Rekha Subramaniam,rekha.subramaniam356@rediffmail.com,8150143832,Facliators,Ahmedabad,Bengali,India,India,Anand Rao,Kolkata Group,WhatsApp,Pending,No,No,Confirmed,Admin2
Amit Kulkarni,amit.kulkarni585@hotmail.com,9346404536,Facliators,Sharjah,Telugu,Non India,Oman,Lakshmi Krishnan,Hyderabad Group,Instagram,Pending,Pending,Yes,,Admin1
Usha Jain,usha.jain443@rediffmail.com,6377193029,Facliators,San Jose,Gujarati,Non India,Canada,Anand Rao,Singapore Group,Twitter,Pending,No,No,,Facilitator
Swati Agarwal,swati.agarwal997@yahoo.com,8189209952,Sadhak,Kolkata,Malayalam,India,India,Suresh Pillai,USA Group,Twitter,Yes,Yes,No,,Admin2
Ojas Verma,ojas.verma11@gmail.com,9811546218,Sadhak,Amsterdam,Telugu,Non India,Germany,Deepa Nair,Coimbatore Group,Facebook,Pending,Yes,Pending,Needs reminder,Self
Rahul Kulkarni,rahul.kulkarni806@rediffmail.com,6134617726,Sadhak,Bangalore,Bengali,India,India,Meena Joshi,Delhi Group,Word of Mouth,Yes,No,No,Inactive,System
Neha Joshi,neha.joshi994@hotmail.com,8443504924,Facliators,Bahrain,English,Non India,Malaysia,Swati Shah,Toronto Group,Telegram,Pending,No,Yes,Active,Admin2
Smita Kumar,smita.kumar177@gmail.com,8972915747,Sadhak,Auckland,Hindi,Non India,Singapore,Lakshmi Krishnan,Nagpur Group,Website,Yes,No,Yes,,RasPay
Ruchika Patel,ruchika.patel733@rediffmail.com,7497698133,Facliators,Auckland,English,Non India,Singapore,Rajesh Kumar,Lucknow Group,Website,Yes,Yes,Yes,,System
Nandita Mehta,nandita.mehta471@gmail.com,8865904639,Facliators,Muscat,Hindi,Non India,Australia,Deepa Nair,Jaipur Group,Twitter,Yes,Pending,Yes,,RasPay
Chirag Chakraborty,chirag.chakraborty609@outlook.com,9527218692,Sadhak,Chicago,Malayalam,Non India,Qatar,Ashwin Verma,Chennai Group,Email,No,Yes,No,,Coordinator
Nandita Desai,nandita.desai38@hotmail.com,7243141379,Facliators,London,Malayalam,Non India,Australia,Anand Rao,USA Group,Telegram,No,Yes,Pending,,Coordinator
Meena Mishra,meena.mishra576@yahoo.com,7309482576,Facliators,Visakhapatnam,Tamil,India,India,Ashwin Verma,Bangalore Group,Word of Mouth,No,Yes,No,Regular attendee,RasPay
Ruchika Subramaniam,ruchika.subramaniam341@outlook.com,6265814951,Sadhak,Kuala Lumpur,Gujarati,Non India,Australia,Kavya Iyer,USA Group,Twitter,No,No,Yes,Active,RasPay
Jatin Sen,jatin.sen665@hotmail.com,6826659250,Facliators,Doha,Hindi,Non India,Bahrain,Ganesh Shetty,Jaipur Group,Telegram,Yes,Yes,Yes,Confirmed,Facilitator
Ketan Pandey,ketan.pandey94@outlook.com,8368985127,Facliators,Bahrain,Gujarati,Non India,Australia,Radha Sharma,Toronto Group,WhatsApp,Pending,Pending,No,,System
Shruti Agarwal,shruti.agarwal599@hotmail.com,7948091920,Sadhak,Allahabad,Tamil,India,India,Ganesh Shetty,Sydney Group,Word of Mouth,Pending,Pending,Pending,,Admin1
Neha Reddy,neha.reddy58@gmail.com,7947375559,Sadhak,Doha,Telugu,Non India,Sri Lanka,Deepa Nair,Ahmedabad Group,Website,No,Yes,No,Awaiting response,Self
Divya Jain,divya.jain868@rediffmail.com,7198966364,Sadhak,Dubai,Hindi,Non India,Netherlands,Deepa Nair,Dubai Group,WhatsApp,Yes,No,No,,Volunteer
Ravi Roy,ravi.roy656@outlook.com,6466491959,Sadhak,Gwalior,Malayalam,India,India,Anand Rao,Dubai Group,Email,Yes,Yes,No,Follow up,System
Vidya Bose,vidya.bose61@outlook.com,9657288203,Facliators,Jaipur,Kannada,India,India,Vijay Reddy,Mumbai Group,Facebook,No,Pending,Pending,,Volunteer
Suresh Gowda,suresh.gowda497@rediffmail.com,9692158507,Sadhak,Hyderabad,Marathi,India,India,Karthik Menon,Lucknow Group,Telegram,No,No,Yes,Regular attendee,Self
Mohan Sharma,mohan.sharma342@yahoo.com,8756701454,Sadhak,Indore,Punjabi,India,India,Suresh Pillai,Toronto Group,WhatsApp,No,No,Pending,,Facilitator
Sneha Gowda,sneha.gowda83@outlook.com,7579873184,Sadhak,Pune,Punjabi,India,India,Karthik Menon,Toronto Group,Twitter,Yes,Yes,Pending,Interested,Facilitator
Hemant Nair,hemant.nair21@outlook.com,8378675288,Facliators,Howrah,Punjabi,India,India,Sunita Patel,Lucknow Group,WhatsApp,Yes,Pending,Yes,,Coordinator
Darshan Sen,darshan.sen139@yahoo.com,8464757475,Sadhak,Colombo,English,Non India,Nepal,Swati Shah,Dubai Group,Instagram,Pending,Yes,No,New member,Self
Leela Rao,leela.rao1@rediffmail.com,9827323607,Facliators,Kuala Lumpur,Gujarati,Non India,Kuwait,Meena Joshi,Jaipur Group,Facebook,No,Pending,Pending,Interested,Self
Ketan Shetty,ketan.shetty357@rediffmail.com,9006539720,Facliators,Chennai,Bengali,India,India,Lakshmi Krishnan,USA Group,Website,Yes,No,No,Regular attendee,System
Mohan Joshi,mohan.joshi534@yahoo.com,8480958614,Sadhak,Sharjah,English,Non India,UAE,Ganesh Shetty,Delhi Group,Facebook,Pending,Yes,Pending,Regular attendee,Coordinator
Sunita Das,sunita.das690@gmail.com,6995584768,Sadhak,Sydney,Hindi,Non India,Kuwait,Arjun Singh,Jaipur Group,Telegram,Yes,No,Pending,Active,Admin2
Nisha Natarajan,nisha.natarajan872@gmail.com,9274902602,Facliators,Bhopal,English,India,India,Pooja Mehta,Coimbatore Group,Referral,Pending,Pending,Pending,,System
Qasim Roy,qasim.roy576@rediffmail.com,6966719089,Sadhak,Kuwait City,Tamil,Non India,Canada,Radha Sharma,Coimbatore Group,YouTube,Yes,Yes,Yes,Inactive,Volunteer
Rajesh Iyer,rajesh.iyer38@yahoo.com,8970415313,Sadhak,Mysore,English,India,India,Ravi Kumar,Lucknow Group,Website,No,Yes,No,Regular attendee,Admin1
Ojas Chatterjee,ojas.chatterjee876@hotmail.com,6395775575,Facliators,Abu Dhabi,Gujarati,Non India,Saudi Arabia,Ganesh Shetty,Malaysia Group,Referral,Pending,Pending,Yes,New member,Admin1
Sanjay Natarajan,sanjay.natarajan67@hotmail.com,6617240691,Sadhak,Kathmandu,Malayalam,Non India,Netherlands,Meena Joshi,London Group,WhatsApp,No,No,No,Interested,Self
Faisal Mukherjee,faisal.mukherjee891@rediffmail.com,6780720419,Facliators,Bangalore,Tamil,India,India,Suresh Pillai,Hyderabad Group,YouTube,Yes,Yes,Pending,Regular attendee,Coordinator
Shruti Joshi,shruti.joshi62@hotmail.com,6086240236,Sadhak,Muscat,Malayalam,Non India,Malaysia,Mohan Gupta,Coimbatore Group,Email,Pending,No,No,Inactive,Volunteer
Manoj Patel,manoj.patel700@outlook.com,9312515149,Facliators,Dhaka,English,Non India,Kuwait,Naveen Rao,Dubai Group,YouTube,Pending,Pending,Yes,Awaiting response,System
Savita Chakraborty,savita.chakraborty978@gmail.com,8650367307,Facliators,Amsterdam,Malayalam,Non India,Canada,Karthik Menon,Sydney Group,Facebook,Pending,No,Pending,Inactive,Admin1
Uma Subramaniam,uma.subramaniam572@rediffmail.com,7505694492,Sadhak,Ahmedabad,Kannada,India,India,Sunita Patel,Chennai Group,Word of Mouth,Yes,Pending,Yes,Follow up,System
Isha Mukherjee,isha.mukherjee582@gmail.com,9156870788,Facliators,Melbourne,Hindi,Non India,Netherlands,Ashwin Verma,Kolkata Group,Twitter,Pending,No,Yes,New member,Volunteer
Nikhil Jain,nikhil.jain101@yahoo.com,8067112698,Sadhak,Meerut,Malayalam,India,India,Meena Joshi,Singapore Group,Word of Mouth,Yes,Pending,Pending,Awaiting response,System
Faisal Dubey,faisal.dubey161@rediffmail.com,8057212799,Sadhak,Jodhpur,Odia,India,India,Meena Joshi,Sydney Group,Referral,No,Yes,Pending,,System
Meena Singh,meena.singh710@hotmail.com,8614195187,Sadhak,Pune,Tamil,India,India,Swati Shah,Mumbai Group,Facebook,Yes,Yes,No,,Volunteer
Rajan Krishnan,rajan.krishnan851@outlook.com,7737994104,Facliators,Kuwait City,Hindi,Non India,Canada,Anand Rao,Toronto Group,Instagram,Yes,Yes,Pending,,Volunteer
Ravi Mukherjee,ravi.mukherjee979@gmail.com,7725797656,Sadhak,Abu Dhabi,Gujarati,Non India,Australia,Naveen Rao,Coimbatore Group,WhatsApp,Yes,No,Pending,Interested,System
Ganesh Singh,ganesh.singh944@rediffmail.com,7111260317,Sadhak,Vasai,Punjabi,India,India,Vijay Reddy,Malaysia Group,Facebook,Pending,Pending,Yes,Interested,Facilitator
Chirag Dey,chirag.dey585@yahoo.com,8342453171,Facliators,Bahrain,Hindi,Non India,New Zealand,Ravi Kumar,London Group,Referral,No,Pending,Yes,Interested,Coordinator
Umesh Krishnan,umesh.krishnan555@yahoo.com,8170831465,Sadhak,Patna,Telugu,India,India,Mohan Gupta,Lucknow Group,Email,Yes,Yes,Yes,,Self
Hemant Venkatesh,hemant.venkatesh845@rediffmail.com,6684266275,Sadhak,Mysore,Assamese,India,India,Ganesh Shetty,Nagpur Group,Instagram,Yes,Yes,No,Inactive,RasPay
Bharat Rajan,bharat.rajan598@gmail.com,8241176498,Facliators,Kota,Telugu,India,India,Arjun Singh,Bangalore Group,Referral,No,No,Yes,Awaiting response,Self
Hiren Tiwari,hiren.tiwari309@hotmail.com,6646874952,Sadhak,Kathmandu,English,Non India,Australia,Karthik Menon,Coimbatore Group,Referral,No,Pending,Yes,,Admin2
Varun Menon,varun.menon371@rediffmail.com,8091319875,Facliators,Delhi,Marathi,India,India,Sunita Patel,Jaipur Group,WhatsApp,No,No,No,Active,Facilitator
Manju Singh,manju.singh395@outlook.com,6758465252,Facliators,Kolkata,Odia,India,India,Pooja Mehta,Sydney Group,WhatsApp,No,Pending,Pending,,RasPay
